crop,ph_min,ph_max,water_need,base_yield,base_price,carbon_footprint,crop_hi,crop_ta,crop_te,crop_ml,climate_zone,season,sowing_months,fertilizer
Wheat,6.0,7.5,Medium,3000,20,Medium,गेहूं,கோதுமை,గోధుమ,ഗേതുമ,Temperate,Winter,Oct-Nov,"Urea, DAP, Potash"
Rice,5.0,6.5,High,4000,18,High,चावल,அரிசி,బియ్యం,അരി,Tropical,Winter,Oct-Nov,"Urea, SSP, Potash, Zinc Sulphate"
Maize,5.5,7.0,Medium,3500,15,Medium,मक्का,சோளம்,మక్కజొన్న,മക്ക,Tropical,Rainy / Monsoon,June-July,"Urea, DAP, Potash, Zinc"
Chickpea,6.0,8.0,Low,1800,50,Low,चना,கொண்டை,చిక్పి,ചണ,Temperate,Winter,Oct-Nov,"DAP, SSP, Vermicompost"
Cotton,6.0,7.5,Medium,2500,60,Very High,कपास,பருத்தி,పత్తి,പത്തു,Tropical,Rainy / Monsoon,Apr-May,"Urea, DAP, Potash, Micronutrients"
Sugarcane,6.0,7.5,High,8000,3,High,गन्ना,ஊர்க்கசகற்கண்டி,ఎర్రచెరుకు,ശർക്കരക്കണ്ടി,Tropical,Rainy / Monsoon,Feb-Mar,"Urea, DAP, FYM, Potash"
Soybean,6.0,7.5,Medium,2800,45,Medium,सोयाबीन,சோயா பயிர்,సోయాబీన్,സോയ,Tropical,Rainy / Monsoon,June-July,"DAP, SSP, Gypsum"
Potato,5.0,6.5,High,20000,10,High,आलू,உருளைக்கிழங்கு,అలుపుఉరగ,ഉരുളക്കിഴങ്ങ്,Temperate,Winter,Oct-Nov,"Urea, DAP, MOP"
Tomato,5.5,6.5,High,60000,12,High,टमाटर,தக்காளி,టమోటా,തക്കാളി,Tropical,Summer,Jan-Feb / June-July,"NPK (19:19:19), FYM"
Onion,5.5,6.5,Medium,30000,8,Medium,प्याज़,வெங்காயம்,ఈలుకాయ,സവാള,Temperate,Winter,Oct-Nov,"DAP, Urea, Potash"
Carrot,5.5,6.5,Medium,25000,9,Low,गाजर,காரட்,క్యారెట్,കാരറ്റ്,Temperate,Winter,Oct-Nov,"DAP, Urea, Potash"
Lettuce,6.0,7.0,Medium,20000,7,Low,लेट्यूस,லெட்டுஸ்,లెట్ట్యూస్,ലെറ്റ്യൂസ്,Temperate,Cool Season,Sep-Feb,"NPK (10:10:10), Compost"
Spinach,6.0,7.5,Medium,15000,6,Low,पालक,கீரை,పాలకూర,പാലക്,Temperate,Cool Season,Sep-Feb,"NPK (10:10:10), Compost"
Cabbage,6.0,7.5,Medium,40000,5,Low,पत्ता गोभी,முட்டைக்கோஸ்,బెండకాయ,മുട്ടക്കാളി,Temperate,Cool Season,Sep-Feb,"NPK (10:10:10), Compost"
Broccoli,6.0,7.5,Medium,30000,4,Low,ब्रोकली,ப்ரோக்கோலி,బ్రోకోలీ,ബ്രോക്കോളി,Temperate,Cool Season,Sep-Feb,"NPK (10:10:10), Compost"
Cauliflower,6.0,7.5,Medium,35000,4,Low,फूलगोभी,கோஸ்பிளவர்,కౌలిఫ్లవర్,കോളിഫ്ലവർ,Temperate,Cool Season,Sep-Feb,"NPK (10:10:10), Compost"
Peas,6.0,7.5,Medium,25000,30,Low,मटर,பட்டாணி,పప్పు,പയർ,Temperate,Winter,Oct-Nov,"DAP, Urea, Potash"
Lentils,6.0,8.0,Low,2000,55,Low,मसूर,பருப்பு,మినుములు,പയർ,Temperate,Winter,Oct-Nov,"DAP, SSP, Vermicompost"
Barley,6.0,7.5,Medium,3000,19,Medium,जौ,பார்லி,బార్లీ,ബാർലി,Temperate,Winter,Oct-Nov,"Urea, DAP, Potash"
Sorghum,5.5,7.5,Medium,4000,22,Medium,ज्वार,சோளம்,జొన్న,സോരം,Tropical,Rainy / Monsoon,June-July,"Urea, DAP, Potash"
Sunflower,6.0,7.5,Medium,2000,40,Medium,सूरजमुखी,சூரியகாந்தி,సూర్యకాంతి,സൂര്യകാന്തി,Tropical,Rainy / Monsoon,Apr-May,"DAP, SSP, Gypsum"
Rapeseed,6.0,7.5,Medium,2500,35,Medium,सरसों,கடுகு,ఆవాలు,കടുക,Tropical,Winter,Oct-Nov,"Urea, DAP, Potash"
Alfalfa,6.5,7.5,Medium,8000,15,Low,अल्फाल्फा,அல்ஃபால்பா,அல்ஃபால்பா,അൽഫാൽഫ,Tropical,Rainy / Monsoon,Mar-Apr,"Urea, DAP, Potash"
Cucumber,5.5,6.5,High,20000,11,Medium,खीरा,வெள்ளரிக்காய்,వెల్లరి,വെള്ളരിക്ക,Tropical,Summer,Jan-Feb / June-July,"NPK (19:19:19), FYM"
Pumpkin,6.0,7.0,Medium,15000,8,Low,कद्दू,பூசணி,ప ంప్కిన్,പംപ്കിൻ,Tropical,Summer,Jan-Feb / June-July,"NPK (19:19:19), FYM"
Watermelon,6.0,7.0,High,20000,9,Medium,तरबूज,தர்பூசணி,తరబూజ,തരബൂജ,Tropical,Summer,Jan-Feb / June-July,"NPK (19:19:19), FYM"
Strawberry,5.5,6.5,Medium,25000,20,Low,स्ट्रॉबेरी,ஸ்ட்ராபெரி,స్ట్రాబెర్రీ,സ്ട്രോബെറി,Temperate,Cool Season,Sep-Feb,"NPK (10:10:10), Compost"
Blueberry,4.5,5.5,Medium,20000,25,Low,ब्लूबेरी,புளூபெரி,బ్లూబెర్రీ,ബ്ലൂബെറി,Temperate,Cool Season,Sep-Feb,"NPK (10:10:10), Compost"
Raspberry,5.5,6.5,Medium,15000,22,Low,रास्पबेरी,ராஸ்பெரி,రాస్ప్బెర్రీ,റാസ്പ്ബെറി,Temperate,Cool Season,Sep-Feb,"NPK (10:10:10), Compost"
Blackberry,5.5,6.5,Medium,15000,18,Low,ब्लैकबेरी,பிளாக்பெரி,బ్లాక్‌బెర్రీ,ബ്ലാക്ക്ബെറി,Temperate,Cool Season,Sep-Feb,"NPK (10:10:10), Compost"
Apple,5.5,6.5,Medium,40000,30,Medium,सेब,ஆப்பிள்,ఆపిల్,ആപ്പിൾ,Temperate,Cool Season,Sep-Feb,"NPK (10:10:10), Compost"
Banana,5.5,6.5,High,30000,15,High,केला,வாழை,అరటిపండు,വാഴ,Tropical,Rainy / Monsoon,Mar-Apr,"Urea, DAP, Potash"
Orange,5.5,6.5,Medium,25000,20,Medium,संतरा,ஆரஞ்சு,కిత్తళి,ഓറഞ്ച്,Tropical,Rainy / Monsoon,Mar-Apr,"Urea, DAP, Potash"
Grapes,5.5,6.5,Medium,20000,28,Medium,अंगूर,திராட்சை,ద్రాక్ష,ദ്രാക്ഷ,Tropical,Cool Season,Sep-Feb,"NPK (10:10:10), Compost"
Mango,5.5,6.5,Medium,30000,25,High,आम,மாம்பழம்,మామిడి,മാമ്പഴം,Tropical,Summer,Mar-Apr,"Urea, DAP, Potash"
Pineapple,4.5,5.5,High,20000,12,Medium,अनानास,அன்னாசி,అనాసపండు,അനാനാസ്,Tropical,Rainy / Monsoon,Mar-Apr,"Urea, DAP, Potash"
Coconut,5.0,8.0,High,15000,10,High,नारियल,தேங்காய்,తేనెపండు,തേങ്ങ,Tropical,Rainy / Monsoon,Mar-Apr,"Urea, DAP, Potash"
Tea,4.5,5.5,High,3000,100,Medium,चाय,தேய்,టీ,തേയ്യം,Tropical,Rainy / Monsoon,Mar-Apr,"Urea, DAP, Potash"
Coffee,5.0,6.0,Medium,2000,120,Medium,कॉफ़ी,காபி,కాఫీ,കാപ്പി,Tropical,Rainy / Monsoon,Mar-Apr,"Urea, DAP, Potash"
Sugarbeet,6.0,7.5,Medium,40000,4,Medium,चीनी चुकंदर,சர்க்கரை கிழங்கு,చక్కెర బీట్,ശർക്കരക്കിഴങ്ങ്,Temperate,Winter,Oct-Nov,"Urea, DAP, Potash"
Tobacco,5.5,6.5,Medium,2000,50,High,तंबाकू,புகையிலை,పొగాకు,പുകവലി,Tropical,Rainy / Monsoon,Apr-May,"Urea, DAP, Potash"
Almond,6.0,7.5,Low,1500,150,Medium,बादाम,பாதாம்,బాదం,ബാദാം,Temperate,Cool Season,Sep-Feb,"NPK (10:10:10), Compost"
Walnut,6.0,7.5,Low,1200,130,Medium,अखरोट,ஒறுங்காய்,అఖ్రోట,അക്രോട്ട്,Temperate,Cool Season,Sep-Feb,"NPK (10:10:10), Compost"
Pistachio,7.0,8.0,Low,1000,140,Medium,पिस्ता,பிஸ்தா,పిస్తా,പിസ്റ്റ,Temperate,Cool Season,Sep-Feb,"NPK (10:10:10), Compost"
Hazelnut,6.0,7.5,Low,1500,120,Medium,हेज़लनट,ஹேசல்நட்,హెజ్‌ల్నట్,ഹേസൽനട്ട്,Temperate,Cool Season,Sep-Feb,"NPK (10:10:10), Compost"
Chestnut,5.5,6.5,Low,2000,110,Medium,शहतूत,சேஸ்ட்நட்,చెస్ట్నట్,ചെസ്റ്റ്നട്ട്,Temperate,Cool Season,Sep-Feb,"NPK (10:10:10), Compost"
Olive,6.0,8.5,Low,3000,80,Low,जैतून,ஒலிவ்,ఆలివ్,ഓലീവ്,Mediterranean,Cool Season,Sep-Feb,"NPK (10:10:10), Compost"
Avocado,6.0,6.5,Medium,4000,90,Medium,एवोकाडो,அவகாடோ,అవకాడో,അവോകാഡോ,Tropical,Rainy / Monsoon,Mar-Apr,"Urea, DAP, Potash"
Peach,6.0,7.5,Medium,3000,70,Medium,आड़ू,பீச்,పీచ్,പീച്ച്,Temperate,Cool Season,Sep-Feb,"NPK (10:10:10), Compost"
Pear,6.0,7.5,Medium,2500,60,Medium,नाशपाती,பேரி,పియర్,പിയർ,Temperate,Cool Season,Sep-Feb,"NPK (10:10:10), Compost"
Plum,5.5,6.5,Medium,2000,55,Medium,आलूबुखारा,புளூம்,ప్లమ్,പ്ലം,Temperate,Cool Season,Sep-Feb,"NPK (10:10:10), Compost"
Cherry,6.0,7.0,Medium,1500,75,Medium,चेरी,செர்ரி,చెర్రీ,ചെറി,Temperate,Cool Season,Sep-Feb,"NPK (10:10:10), Compost"
Apricot,6.0,7.5,Medium,2000,65,Medium,खुबानी,ஆப்ரிகாட்,అప్రికాట్,അപ്രിക്കോട്ട്,Temperate,Cool Season,Sep-Feb,"NPK (10:10:10), Compost"
Fig,6.0,8.0,Low,1500,85,Low,अंजीर,அத்திப்பழம்,అత్తిపండు,അത്തിപ്പഴം,Temperate,Cool Season,Sep-Feb,"NPK (10:10:10), Compost"
Pomegranate,5.5,7.0,Low,3000,95,Low,अनार,மாதுளை,దానిమ్మ,മാതള,Temperate,Cool Season,Sep-Feb,"NPK (10:10:10), Compost"
Cranberry,4.0,5.5,High,2000,40,Low,क्रैनबेरी,கிரான்பெரி,క్రాన్బెర్రీ,ക്രാൻബെറി,Temperate,Cool Season,Sep-Feb,"NPK (10:10:10), Compost"
Rye,5.5,7.0,Medium,2500,17,Medium,राई,ராய்,రై,റൈ,Temperate,Winter,Oct-Nov,"Urea, DAP, Potash"
Oats,6.0,7.5,Medium,3000,16,Medium,जई,ஓட்ஸ்,ఒట్స్,ഓട്,Temperate,Winter,Oct-Nov,"Urea, DAP, Potash"
Quinoa,6.0,8.0,Low,2000,70,Low,किनोआ,கினோவா,క్వినోవా,ക്വിനോവ,Tropical,Rainy / Monsoon,June-July,"Urea, DAP, Potash"
Chickpea,6.0,8.0,Low,1800,50,Low,चना,கொண்டை,చిక్పి,ചണ,Temperate,Winter,Oct-Nov,"DAP, SSP, Vermicompost"
Cotton,6.0,7.5,Medium,2500,60,Very High,कपास,பருத்தி,పత్తి,പത്തു,Tropical,Rainy / Monsoon,Apr-May,"Urea, DAP, Potash, Micronutrients"
