crop,ph_min,ph_max,water_need,base_yield,base_price,carbon_footprint,crop_hi,crop_ta,crop_te,crop_ml,climate_zone,season
Wheat,6.0,7.5,Medium,3000,20,Medium,गेहूं,கோதுமை,గోధుమ,ഗേതുമ,Temperate,Winter
Rice,5.0,6.5,High,4000,18,High,चावल,அரிசி,బియ్యం,അരി,Tropical,Rainy / Monsoon
Maize,5.5,7.0,Medium,3500,15,Medium,मक्का,சோளம்,మక్కజొన్న,മക്ക,Tropical,Rainy / Monsoon
Chickpea,6.0,8.0,Low,1800,50,Low,चना,கொண்டை,చిక్పి,ചണ,Temperate,Winter
Cotton,6.0,7.5,Medium,2500,60,Very High,कपास,பருத்தி,పత్తి,പത്തു,Tropical,Rainy / Monsoon
Sugarcane,6.0,7.5,High,8000,3,High,गन्ना,ஊர்க்கசகற்கண்டி,ఎర్రచెరుకు,ശർക്കരക്കണ്ടി,Tropical,Rainy / Monsoon
Soybean,6.0,7.5,Medium,2800,45,Medium,सोयाबीन,சோயா பயிர்,సోయాబీన్,സോയ,Tropical,Rainy / Monsoon
Potato,5.0,6.5,High,20000,10,High,आलू,உருளைக்கிழங்கு,అలుపుఉరగ,ഉരുളക്കിഴങ്ങ്,Temperate,Winter
Tomato,5.5,6.5,High,60000,12,High,टमाटर,தக்காளி,టమోటా,തക്കാളി,Tropical,Summer
Onion,5.5,6.5,Medium,30000,8,Medium,प्याज़,வெங்காயம்,ఈలుకాయ,സവാള,Temperate,Winter
Carrot,5.5,6.5,Medium,25000,9,Medium,गाजर,கேரட்,క్యారెట్,കാററ്റ്,Temperate,Winter
Lettuce,6.0,7.0,High,20000,7,High,सलाद पत्ता,லெட்டூஸ்,లెట్ట్యూస్,ലെറ്റ്യൂസ്,Temperate,Winter
Spinach,6.0,7.0,High,15000,6,High,पालक,கீரை,పాలక్,പാലക്,Temperate,Winter
Cabbage,6.0,7.5,Medium,22000,5,Medium,पत्ता गोभी,முட்டைகோஸ்,కేబేజ్,മുട്ടൈകോബി,Temperate,Winter
Broccoli,6.0,7.0,Medium,18000,4,Medium,ब्रोकोली,ப்ரோகோலி,బ్రోక్లీ,ബ്രോകോളി,Temperate,Winter
Cauliflower,6.0,7.5,Medium,20000,4,Medium,फूलगोभी,பூ கோஸ்,గోబీ,ഫുല്കോബി,Temperate,Winter
Peas,6.0,7.5,Medium,4000,30,Low,मटर,பச்சை பட்டாணி,పప్పు,പയർ,Temperate,Winter
Lentils,6.0,8.0,Low,2000,55,Low,मसूर,பருப்பு,పప్పు,മസൂര്,Temperate,Winter
Barley,6.0,7.5,Medium,3200,19,Medium,जौ,சேளம்,బార్లే,ബാർലി,Temperate,Winter
Sorghum,5.5,7.0,Low,2500,22,Low,ज्वार,சோர்கம்,సోర్గం,സോർഗം,Tropical,Rainy / Monsoon
Millet,5.5,7.0,Low,2000,25,Low,बाजरा,சாமை,జొన్న,സാമൈ,Tropical,Rainy / Monsoon
Sunflower,6.0,7.5,Medium,3000,40,Medium,सूरजमुखी,சூரியகாந்தி,సూర్యకాంతి,സൂര്യകാന്തി,Tropical,Rainy / Monsoon
Rapeseed,6.0,7.5,Medium,2800,35,Medium,सरसों,காஞ்சி விதை,రాప్సీడ్,റാപ്‌സീഡ്,Temperate,Winter
Alfalfa,6.5,7.5,High,10000,15,High,अल्फाल्फा,ஆல்ஃபால்ஃபா,అల్ఫాల్ఫా,ആൽഫാല്ഫ,Temperate,Winter
Cucumber,5.5,6.5,High,50000,11,High,खीरा,வெள்ளரிக்காய்,పప్పికాయ,വെള്ളരിക്കായ്,Tropical,Summer
Pumpkin,6.0,7.5,Medium,15000,8,Medium,कद्दू,பம்ப்கின்,పంప్కిన్,പമ്പ്കിൻ,Tropical,Summer
Watermelon,6.0,7.5,High,40000,9,High,तरबूज,தர்பூசணி,కరుగుద్రాక్ష,തിരുഭൂസണി,Tropical,Summer
Muskmelon,5.5,6.5,High,12000,15,Medium,खरबूजा,பன்னீர் தர்பூசணி,మస్క్మెలోన్,മസ്ക് മെലോൺ,Tropical,Summer
Strawberry,5.5,6.5,High,25000,20,High,स्ट्रॉबेरी,ஸ்ட்ராபெரி,స్ట్రాబెర్రీ,സ്ട്രോബെറി,Temperate,Winter
Blueberry,4.5,5.5,High,15000,25,High,ब्लूबेरी,ப்ளூபெரி,బ్లూబెర్రీ,ബ്ലുബെറി,Temperate,Winter
Raspberry,5.0,6.0,High,12000,22,High,रसभरी,ராஸ்பெரி,రాస్ప్బెర్రీ,റാസ്ബെറി,Temperate,Winter
